Delivery_ID,Truck_ID,Vehicle_Type,Truck_Age_Years,Vehicle_Status,Driver_ID,Driver_Name,Driver_Experience_Years,Driver_Performance_Score,Driver_Behaviour_Score,Delivery_Date,Route_Region,Route_Distance_KM,Delivery_Status,Delay_Hours,Delay_Reason,Fuel_Consumed_Liters,Fuel_Cost_EUR,Maintenance_Cost_EUR,Breakdown_Count,Downtime_Hours,Customer_ID,Customer_Name,Complaint_Category,Complaint_Status,Customer_Satisfaction_Score,Delivery_Revenue_EUR,Revenue_Loss_EUR
DEL-00038,TRK-110,Articulated Truck,7,Active,DRV-097,Kathryn Harris,8,69.06,62.39,2025-12-11,Meath,398,Delayed,5.44,Vehicle Breakdown,81.88,159.32,756.35,0,0.0,CUS-0055,Warren-Williams,Driver Behaviour,Escalated,2,2038.14,402.42
DEL-00039,TRK-007,Rigid Truck,12,Maintenance,DRV-023,Clayton Nguyen,2,68.05,52.43,2025-11-28,Waterford,307,Delayed,10.11,Route Inefficiency,51.45,97.2,2242.72,1,5.24,CUS-0147,Franco-Mitchell,Delivery Delay,In Progress,2,2563.63,1408.85
DEL-00040,TRK-014,Rigid Truck,3,Active,DRV-040,Jeremy Garcia,13,73.93,59.75,2025-10-12,Cork,55,Delayed,6.94,Vehicle Breakdown,10.64,19.86,976.11,1,5.8,CUS-0237,Mills and Sons,Driver Behaviour,In Progress,1,415.49,455.95
DEL-00041,TRK-122,Articulated Truck,9,Active,DRV-064,Mary Leblanc,9,73.44,67.65,2025-11-16,Cork,378,Delayed,16.1,Traffic,80.83,150.14,2808.38,2,12.13,CUS-0310,Cook-Watson,Damaged Goods,Open,5,2604.29,1740.56
DEL-00042,TRK-150,Rigid Truck,11,Active,DRV-056,Kristina Werner,3,55.82,44.99,2026-05-13,Dublin,212,On-Time,0.0,No Delay,53.64,110.2,1388.89,0,0.0,CUS-0250,Johnston PLC,No Complaint,No Complaint,9,1290.36,0.0
DEL-00043,TRK-074,Rigid Truck,4,Breakdown,DRV-055,Raymond Jones,4,72.27,65.69,2026-03-13,Dublin,258,Delayed,6.87,Traffic,73.09,144.27,2611.36,2,22.0,CUS-0303,"Hughes, King and Jones",Delivery Delay,Resolved,1,1166.42,507.42
DEL-00044,TRK-014,Refrigerated Truck,12,Active,DRV-007,Robert Meyer,8,68.6,56.69,2025-09-11,Dublin,337,On-Time,0.0,No Delay,65.43,113.55,2995.64,5,50.94,CUS-0371,Walker Ltd,No Complaint,No Complaint,9,2265.73,0.0
DEL-00045,TRK-108,Refrigerated Truck,8,Active,DRV-015,Chad Mckenzie,7,77.53,62.85,2026-02-05,Dublin,334,On-Time,0.0,No Delay,54.7,112.46,725.77,0,0.0,CUS-0004,"Page, Brewer and Jordan",No Complaint,No Complaint,9,2211.43,0.0
DEL-00046,TRK-062,Rigid Truck,6,Maintenance,DRV-057,John Cooper,2,78.5,94.32,2025-06-28,Limerick,416,On-Time,0.0,No Delay,74.8,147.54,789.71,1,7.33,CUS-0239,Montoya-Newman,No Complaint,No Complaint,9,1988.53,0.0
DEL-00047,TRK-140,Refrigerated Truck,9,Maintenance,DRV-037,Jonathan Thomas,14,49.83,55.78,2026-01-19,Waterford,285,On-Time,0.0,No Delay,80.75,154.5,964.19,1,4.34,CUS-0485,Meyers Inc,No Complaint,No Complaint,8,1770.16,0.0
DEL-00048,TRK-061,Refrigerated Truck,11,Active,DRV-035,Amanda Rios,6,60.38,46.49,2025-11-15,Cork,399,Delayed,16.47,Traffic,89.75,184.09,2949.36,2,15.03,CUS-0338,"Morales, Leonard and Hernandez",Delivery Delay,In Progress,4,3073.53,1820.34
DEL-00049,TRK-009,Refrigerated Truck,1,Active,DRV-040,Matthew Atkins,3,60.57,45.62,2026-05-30,Dublin,235,On-Time,0.0,No Delay,36.87,71.17,291.5,0,0.0,CUS-0261,Johnson PLC,No Complaint,No Complaint,9,1955.81,0.0
DEL-00050,TRK-033,Articulated Truck,11,Maintenance,DRV-088,Samuel Lewis,8,91.07,84.52,2026-02-11,Galway,245,On-Time,0.0,No Delay,57.28,125.26,3116.76,2,28.23,CUS-0336,Cooper-Martin,No Complaint,No Complaint,9,1662.39,0.0
DEL-00051,TRK-039,Refrigerated Truck,8,Maintenance,DRV-082,Robert Salazar,1,65.46,58.65,2026-03-23,Limerick,111,On-Time,0.0,No Delay,23.39,44.91,2256.23,1,15.06,CUS-0258,"Morris, King and Randolph",No Complaint,No Complaint,10,501.78,0.0
DEL-00052,TRK-012,Articulated Truck,12,Breakdown,DRV-017,Charles Poole,2,67.06,55.27,2025-06-19,Cork,314,Failed,12.48,Vehicle Breakdown,95.21,173.92,1921.79,2,17.72,CUS-0374,"Reed, Cortez and Olson",Damaged Goods,Open,3,1541.75,1344.49
DEL-00053,TRK-039,Refrigerated Truck,1,Active,DRV-029,Dawn Morris,10,91.29,87.23,2026-06-06,Waterford,41,On-Time,0.0,No Delay,8.25,18.36,625.2,1,3.92,CUS-0075,"Franco, Davis and Fuentes",No Complaint,No Complaint,10,339.37,0.0
DEL-00054,TRK-131,Refrigerated Truck,4,Active,DRV-001,Christopher Carey,2,87.02,86.86,2025-08-10,Cork,307,On-Time,0.0,No Delay,53.33,106.88,272.13,0,0.0,CUS-0380,"Hall, Garcia and Clark",No Complaint,No Complaint,10,2565.93,0.0
DEL-00055,TRK-122,Refrigerated Truck,6,Active,DRV-020,Shannon Guzman,2,59.51,42.66,2025-06-23,Kildare,34,On-Time,0.0,No Delay,6.48,12.33,1676.07,1,12.0,CUS-0015,Chavez and Sons,No Complaint,No Complaint,8,170.85,0.0
DEL-00056,TRK-072,Rigid Truck,9,Active,DRV-018,Alexandria Terry,14,70.8,51.79,2025-08-07,Kildare,241,On-Time,0.0,No Delay,42.29,74.72,493.04,0,0.0,CUS-0320,Romero-Brock,No Complaint,No Complaint,8,1502.15,0.0
DEL-00057,TRK-090,Articulated Truck,2,Active,DRV-015,Ian Montgomery,15,51.8,38.1,2025-12-13,Cork,385,Delayed,10.01,Traffic,74.53,158.66,2791.95,3,25.75,CUS-0106,Shaw LLC,Delivery Delay,Open,2,1867.81,890.86
DEL-00058,TRK-111,Refrigerated Truck,7,Active,DRV-007,Shaun Monroe,8,62.91,42.19,2026-05-04,Galway,324,On-Time,0.0,No Delay,61.77,117.16,979.35,0,0.0,CUS-0084,Johnson LLC,No Complaint,No Complaint,9,2497.04,0.0
DEL-00059,TRK-096,Van,4,Active,DRV-059,Michele Daugherty,10,67.51,46.6,2026-03-20,Galway,409,Delayed,11.58,Driver Issue,66.12,136.92,638.3,0,0.0,CUS-0412,Casey-Smith,Delivery Delay,Resolved,5,1911.93,925.49
DEL-00060,TRK-039,Articulated Truck,10,Active,DRV-058,Brian Herrera,3,63.67,58.34,2026-02-26,Kildare,262,Delayed,9.25,Vehicle Breakdown,78.88,172.7,2096.92,1,5.2,CUS-0125,"Barrett, Farley and Hall",Delivery Delay,Resolved,2,1795.29,609.42
DEL-00061,TRK-005,Refrigerated Truck,12,Maintenance,DRV-065,Vincent Olson,13,87.14,81.39,2025-10-10,Limerick,150,Delayed,9.12,Vehicle Breakdown,27.88,51.94,1624.48,1,7.36,CUS-0440,George-Cook,Damaged Goods,In Progress,4,1072.57,563.5
DEL-00062,TRK-120,Van,4,Active,DRV-056,Melinda Ruiz,7,88.54,94.89,2025-08-22,Limerick,320,Delayed,2.65,Driver Issue,63.48,118.87,309.95,0,0.0,CUS-0367,Simmons LLC,Delivery Delay,Resolved,5,1486.94,290.97
DEL-00063,TRK-038,Van,6,Active,DRV-023,Jamie Padilla,11,71.03,70.42,2025-06-03,Kildare,127,Failed,1.04,Route Inefficiency,25.47,49.21,345.24,0,0.0,CUS-0301,"Hanson, Ruiz and Wilson",Missing Delivery,Resolved,2,896.17,753.35
DEL-00064,TRK-145,Articulated Truck,4,Maintenance,DRV-008,Stephanie Petersen,2,57.53,44.47,2026-01-22,Meath,355,On-Time,0.0,No Delay,81.99,161.45,1160.94,1,11.18,CUS-0232,"Ruiz, Smith and Maldonado",No Complaint,No Complaint,9,2938.85,0.0
DEL-00065,TRK-077,Refrigerated Truck,1,Active,DRV-075,Holly Saunders,11,76.12,66.75,2025-07-29,Limerick,95,On-Time,0.0,No Delay,14.05,24.2,1402.39,1,9.44,CUS-0098,Martinez Ltd,No Complaint,No Complaint,8,582.13,0.0
DEL-00066,TRK-060,Rigid Truck,6,Active,DRV-089,Joseph Buckley,6,58.28,44.21,2025-10-17,Dublin,151,On-Time,0.0,No Delay,31.23,58.38,1415.05,1,12.43,CUS-0305,"Rosario, Cannon and Frederick",No Complaint,No Complaint,10,1047.84,0.0
DEL-00067,TRK-048,Rigid Truck,1,Active,DRV-079,Katie Kline,12,69.2,62.12,2026-03-21,Limerick,310,On-Time,0.0,No Delay,57.76,118.54,534.51,0,0.0,CUS-0228,"Adams, Boone and Martin",No Complaint,No Complaint,8,1530.06,0.0
DEL-00068,TRK-146,Articulated Truck,11,Maintenance,DRV-049,Ashlee Bates,6,92.34,79.18,2025-09-07,Waterford,362,Delayed,6.76,Traffic,71.54,124.42,3046.06,2,24.5,CUS-0132,Bird-Bates,Wrong Delivery,Resolved,2,2386.43,718.29
DEL-00069,TRK-106,Refrigerated Truck,10,Active,DRV-013,Leah Lewis,14,76.78,76.52,2026-01-11,Meath,364,On-Time,0.0,No Delay,92.43,185.31,762.46,0,0.0,CUS-0406,"Chavez, Pennington and Stevenson",No Complaint,No Complaint,8,2439.13,0.0
DEL-00070,TRK-119,Rigid Truck,6,Active,DRV-081,Peter Rowland,6,72.71,53.28,2026-03-13,Kildare,296,Delayed,11.62,Route Inefficiency,58.39,127.45,1575.94,1,7.63,CUS-0432,Richards-Roberson,Delivery Delay,Open,1,2239.72,909.25
DEL-00071,TRK-024,Van,5,Active,DRV-046,James Garcia,3,83.21,58.43,2025-11-04,Galway,162,On-Time,0.0,No Delay,32.59,68.2,376.72,0,0.0,CUS-0068,Hawkins-Fuller,No Complaint,No Complaint,8,1194.0,0.0
DEL-00072,TRK-008,Articulated Truck,10,Maintenance,DRV-072,Dean Carlson,10,98.58,87.62,2026-05-10,Cork,121,On-Time,0.0,No Delay,27.45,55.57,2783.43,2,16.92,CUS-0067,Thomas LLC,No Complaint,No Complaint,10,868.59,0.0
DEL-00073,TRK-121,Refrigerated Truck,6,Active,DRV-016,Ashley Mcknight,13,53.38,46.56,2026-02-04,Limerick,319,On-Time,0.0,No Delay,92.53,187.79,559.78,0,0.0,CUS-0145,"Donaldson, Ramirez and Mcdonald",No Complaint,No Complaint,9,1653.03,0.0
DEL-00074,TRK-114,Rigid Truck,12,Active,DRV-066,Karen Warren,4,62.03,72.33,2026-02-08,Dublin,155,Delayed,10.23,Vehicle Breakdown,41.45,75.72,1142.43,0,0.0,CUS-0341,"Cruz, Roman and Murphy",Delivery Delay,Open,4,1074.76,1110.28
DEL-00075,TRK-134,Refrigerated Truck,2,Active,DRV-080,Brian Brown,9,86.1,77.89,2026-01-02,Meath,268,On-Time,0.0,No Delay,47.99,95.85,313.01,0,0.0,CUS-0436,"Lee, Lopez and Christensen",No Complaint,No Complaint,9,1879.16,0.0
DEL-00076,TRK-096,Van,9,Active,DRV-013,Katie Meyers,5,90.0,78.16,2025-08-25,Meath,418,Failed,8.41,Weather,88.7,168.79,1751.8,1,6.18,CUS-0334,Petersen and Sons,Delivery Delay,Open,4,2680.61,1847.03
DEL-00077,TRK-083,Rigid Truck,4,Active,DRV-099,Cole Wade,13,73.88,72.41,2025-12-28,Waterford,165,On-Time,0.0,No Delay,37.35,67.72,431.22,0,0.0,CUS-0329,Miller-Merritt,No Complaint,No Complaint,10,780.64,0.0
DEL-00078,TRK-086,Rigid Truck,12,Active,DRV-055,Tami Stanley,14,73.47,61.96,2026-04-01,Cork,209,Delayed,2.6,Vehicle Breakdown,58.16,129.97,1252.42,0,0.0,CUS-0062,Wolfe LLC,Delivery Delay,Resolved,6,1316.52,218.41
DEL-00079,TRK-113,Rigid Truck,11,Active,DRV-064,Daniel Peterson,6,78.93,76.28,2026-03-27,Dublin,265,Delayed,10.01,Vehicle Breakdown,76.53,157.6,870.94,0,0.0,CUS-0120,"Dunn, Peterson and Peterson",Missing Delivery,Resolved,5,1590.94,1027.09
DEL-00080,TRK-129,Rigid Truck,9,Active,DRV-051,William Stevenson,2,71.32,77.04,2025-11-02,Galway,148,Delayed,7.4,Traffic,34.66,66.24,1880.65,1,12.98,CUS-0152,Bullock-Coleman,Damaged Goods,Open,1,1102.56,733.1
DEL-00081,TRK-111,Van,1,Active,DRV-092,Amy Caldwell,4,61.18,43.17,2025-12-13,Dublin,152,On-Time,0.0,No Delay,25.56,47.19,283.96,0,0.0,CUS-0223,Chen-Myers,No Complaint,No Complaint,9,845.15,0.0
DEL-00082,TRK-011,Articulated Truck,8,Active,DRV-015,Andrew Wolfe,8,85.32,89.47,2025-11-14,Dublin,275,Failed,4.16,Weather,48.14,95.0,834.26,0,0.0,CUS-0424,"Espinoza, Francis and Allen",Damaged Goods,Resolved,4,1899.57,1388.06
DEL-00083,TRK-018,Rigid Truck,2,Maintenance,DRV-013,Anna Collins,9,54.63,60.47,2026-05-31,Kildare,202,On-Time,0.0,No Delay,41.82,82.52,1413.75,1,16.1,CUS-0149,"Gonzalez, Shannon and Jones",No Complaint,No Complaint,8,1604.99,0.0
DEL-00084,TRK-003,Refrigerated Truck,8,Active,DRV-019,Amy Brown,8,65.75,67.81,2026-02-01,Meath,321,Delayed,12.23,Traffic,67.72,141.55,753.04,0,0.0,CUS-0413,"Rice, Bush and Johnson",Delivery Delay,Resolved,1,1637.97,1134.71
DEL-00085,TRK-128,Articulated Truck,7,Active,DRV-091,Jason Gonzalez,15,66.86,49.97,2026-03-07,Galway,127,On-Time,0.0,No Delay,25.01,54.22,796.43,0,0.0,CUS-0066,Heath Inc,No Complaint,No Complaint,8,729.45,0.0
DEL-00086,TRK-004,Van,9,Breakdown,DRV-057,Jacob Green,13,78.71,57.14,2026-02-13,Waterford,131,Delayed,11.86,Traffic,20.86,43.86,4266.54,3,37.01,CUS-0020,Hernandez-Brady,Delivery Delay,Resolved,5,998.43,976.24
DEL-00087,TRK-150,Van,1,Active,DRV-076,Theresa Thompson,7,96.65,90.94,2026-01-16,Kildare,138,On-Time,0.0,No Delay,20.48,41.41,244.29,0,0.0,CUS-0314,"Little, Todd and Flynn",No Complaint,No Complaint,9,896.04,0.0
DEL-00088,TRK-118,Rigid Truck,6,Active,DRV-033,Michael Rodriguez,15,96.56,90.24,2025-07-21,Dublin,136,On-Time,0.0,No Delay,22.89,43.81,341.78,0,0.0,CUS-0198,Foster-Gomez,No Complaint,No Complaint,8,1029.02,0.0
DEL-00089,TRK-005,Van,4,Maintenance,DRV-070,Connie Davis,15,66.73,65.94,2026-02-14,Cork,167,Delayed,14.37,Vehicle Breakdown,35.53,69.17,1275.33,2,20.66,CUS-0260,Vaughn-Montgomery,Driver Behaviour,Open,1,1038.51,2053.84
DEL-00090,TRK-106,Rigid Truck,7,Active,DRV-077,Brandon Hernandez,2,56.32,47.24,2026-01-31,Kildare,314,Delayed,1.52,Vehicle Breakdown,65.42,124.06,701.28,0,0.0,CUS-0044,"Lewis, Thomas and Velez",Delivery Delay,Open,6,1759.3,131.61
DEL-00091,TRK-117,Van,9,Breakdown,DRV-071,Lawrence Lewis,4,43.48,29.89,2025-09-22,Kildare,320,Failed,9.67,Vehicle Breakdown,68.89,140.22,1962.7,2,19.96,CUS-0289,Lowe-Hodges,Wrong Delivery,Resolved,1,2163.62,1460.56
DEL-00092,TRK-112,Refrigerated Truck,1,Maintenance,DRV-039,Vincent Blankenship,13,76.37,72.3,2026-01-11,Kildare,171,On-Time,0.0,No Delay,38.33,72.14,1729.5,2,20.72,CUS-0076,Edwards LLC,No Complaint,No Complaint,9,917.31,0.0
DEL-00093,TRK-006,Refrigerated Truck,8,Maintenance,DRV-052,Cody Morton,12,72.34,65.31,2025-11-12,Meath,313,Delayed,11.78,Route Inefficiency,54.23,109.53,1464.77,2,25.54,CUS-0089,Austin-Massey,Delivery Delay,In Progress,4,2107.09,1219.81
DEL-00094,TRK-008,Rigid Truck,11,Breakdown,DRV-032,Lori Henderson,11,71.35,61.1,2026-04-20,Limerick,197,Delayed,10.24,Weather,63.02,137.11,3456.74,2,22.93,CUS-0176,Forbes LLC,Wrong Delivery,Open,1,1600.54,957.29
DEL-00095,TRK-131,Van,11,Maintenance,DRV-092,Devin Hardin,4,57.08,38.18,2026-05-21,Kildare,120,Failed,10.39,Vehicle Breakdown,27.45,52.83,2953.95,2,25.95,CUS-0474,Stone-White,Wrong Delivery,Escalated,4,593.16,483.24
DEL-00096,TRK-033,Van,5,Active,DRV-016,Roberto Garcia,8,63.3,54.83,2025-09-22,Cork,175,On-Time,0.0,No Delay,36.79,65.82,1256.99,1,10.78,CUS-0066,"Kelly, Barton and Jones",No Complaint,No Complaint,9,1351.84,0.0
